Player_Rank_Salary,Player_Name,Team_Salary,Salary_2025,Guaranteed_Salary,player_id,Player_Rank_Stats,Age,Team,Pos,FG,FG_Percent,ThreeP,ThreeP_Percent,TwoP,TwoP_Percent,eFG_Percent,FT,FT_Percent,ORB,DRB,TRB,AST,STL,BLK,PTS,Awards,Log_Salary_2025
1,Stephen Curry,GSW,59606817.0,$122193975,curryst01,12,37,GSW,PG,8.7,0.468,4.4,0.393,4.3,0.584,0.587,4.7,0.923,0.4,3.2,3.6,4.7,1.1,0.4,26.6,AS,17.90328050468941
2,Joel Embiid,PHI,55224526.0,$176072526,embiijo01,10,31,PHI,C,9.0,0.489,1.4,0.333,7.6,0.535,0.527,7.5,0.854,2.0,5.7,7.7,3.9,0.6,1.2,26.9,,17.826917724164357
3,Nikola Jokić,DEN,55224526.0,$114257640,jokicni01,8,30,DEN,C,9.9,0.569,1.7,0.38,8.2,0.636,0.618,6.1,0.831,3.0,9.9,12.9,10.7,1.4,0.8,27.7,CPOY-6AS,17.826917724164357
4,Kevin Durant,HOU,54708609.0,$98611048,duranke01,15,37,HOU,SF,9.2,0.52,2.4,0.413,6.8,0.572,0.588,5.2,0.874,0.5,4.9,5.5,4.8,0.8,0.9,26.0,CPOY-9AS,17.817531640748776
5,Jayson Tatum,BOS,54126450.0,$242486496,tatumja01,27,27,BOS,PF,7.4,0.411,2.9,0.329,4.4,0.493,0.493,4.1,0.823,0.5,9.5,10.0,5.3,1.4,0.2,21.8,,17.806833533766422
6,Anthony Davis,WAS,54126450.0,$112583016,davisan02,39,32,DAL,PF,8.5,0.506,0.5,0.27,8.0,0.535,0.521,3.0,0.728,3.1,8.0,11.1,2.8,1.1,1.7,20.4,,17.806833533766422
7,Giannis Antetokounmpo,MIL,54126450.0,$112583016,antetgi01,9,31,MIL,PF,10.4,0.624,0.4,0.333,9.9,0.647,0.636,6.4,0.65,2.7,7.1,9.8,5.4,0.9,0.7,27.6,AS,17.806833533766422
8,Jimmy Butler,GSW,54126450.0,$110959223,butleji01,47,36,GSW,SF,6.3,0.519,0.8,0.376,5.5,0.552,0.554,6.5,0.864,2.3,3.2,5.6,4.9,1.4,0.2,20.0,,17.806833533766422
9,Jaylen Brown,BOS,53142264.0,$236187840,brownja02,4,29,BOS,SF,10.4,0.477,2.0,0.347,8.4,0.523,0.522,6.0,0.795,1.1,5.8,6.9,5.1,1.0,0.4,28.7,AS,17.7884831018295
10,Devin Booker,PHO,53142264.0,$235302136,bookede01,13,29,PHO,SG,8.5,0.456,1.9,0.33,6.6,0.512,0.507,7.1,0.873,0.8,3.1,3.9,6.0,0.8,0.3,26.1,AS,17.7884831018295
11,Karl-Anthony Towns,NYK,53142264.0,$110220992,townska01,46,30,NYK,C,6.9,0.501,1.5,0.368,5.4,0.557,0.556,4.8,0.858,3.1,8.7,11.9,3.0,0.9,0.5,20.1,AS,17.7884831018295
12,LeBron James,LAL,52627153.0,$52627153,jamesle01,34,41,LAL,SF,7.9,0.515,1.3,0.317,6.6,0.586,0.557,3.9,0.737,0.7,5.4,6.1,7.2,1.2,0.6,20.9,AS,17.778742761243954
13,Paul George,PHI,51666090.0,$105792470,georgpa01,69,35,PHI,PF,6.1,0.439,2.7,0.392,3.4,0.484,0.536,2.5,0.82,0.5,4.8,5.3,3.6,1.7,0.4,17.3,,17.7603122248628
14,Kawhi Leonard,LAC,50000000.0,$100300000,leonaka01,6,34,LAC,SF,9.8,0.505,2.6,0.387,7.1,0.569,0.573,5.7,0.892,1.1,5.3,6.4,3.6,1.9,0.4,27.9,CPOY-10AS,17.72753356339242
15,Zach LaVine,SAC,47499660.0,$47499660,lavinza01,53,30,SAC,SG,6.7,0.479,2.5,0.39,4.2,0.556,0.569,3.2,0.88,0.2,2.6,2.8,2.3,0.7,0.3,19.2,,17.676233111084514
16,Cade Cunningham,DET,46394100.0,$269085780,cunnica01,21,24,DET,PG,8.6,0.461,2.0,0.342,6.6,0.514,0.513,4.8,0.812,0.9,4.7,5.5,9.9,1.4,0.8,23.9,CPOY-4AS,17.652682853939165
17,Evan Mobley,CLE,46394100.0,$269085780,mobleev01,61,24,CLE,PF,7.2,0.546,1.0,0.297,6.3,0.626,0.582,2.8,0.606,2.4,6.6,9.0,3.6,0.7,1.7,18.2,,17.652682853939165
18,Jamal Murray,DEN,46394100.0,$207845568,murraja01,16,28,DEN,PG,8.8,0.483,3.3,0.435,5.5,0.517,0.573,4.6,0.887,0.4,4.0,4.4,7.1,0.9,0.4,25.4,CPOY-2AS,17.652682853939165
19,Lauri Markkanen,UTA,46394100.0,$195868144,markkla01,11,28,UTA,PF,9.1,0.477,2.7,0.355,6.4,0.559,0.548,5.7,0.896,2.0,4.9,6.9,2.1,1.0,0.5,26.7,,17.652682853939165
20,Donovan Mitchell,CLE,46394100.0,$96499728,mitchdo01,7,29,CLE,SG,9.7,0.483,3.2,0.364,6.5,0.577,0.563,5.3,0.865,0.7,3.8,4.5,5.7,1.5,0.3,27.9,AS,17.652682853939165
21,Trae Young,WAS,46394100.0,$46394100,youngtr01,63,27,2TM,PG,5.4,0.458,1.8,0.338,3.6,0.557,0.534,5.3,0.825,0.3,1.7,2.0,8.0,0.9,0.1,17.9,,17.652682853939165
21,Trae Young,WAS,46394100.0,$46394100,youngtr01,63,27,ATL,PG,5.6,0.415,1.8,0.305,3.8,0.5,0.481,6.3,0.863,0.0,1.5,1.5,8.9,1.0,0.1,19.3,,17.652682853939165
21,Trae Young,WAS,46394100.0,$46394100,youngtr01,63,27,WAS,PG,5.0,0.595,1.8,0.429,3.2,0.762,0.702,3.4,0.708,0.8,2.2,3.0,6.2,0.6,0.2,15.2,,17.652682853939165
22,Luka Dončić,LAL,45999660.0,$149583660,doncilu01,1,26,LAL,PG,10.8,0.476,4.0,0.366,6.9,0.575,0.563,7.9,0.78,0.6,7.1,7.7,8.3,1.6,0.5,33.5,CPOY-8AS,17.644144563121706
23,Anthony Edwards,MIN,45550512.0,$202446720,edwaran01,3,24,MIN,SG,9.9,0.489,3.4,0.399,6.5,0.554,0.572,5.7,0.796,0.6,4.4,5.0,3.7,1.4,0.8,28.8,CPOY-3AS,17.634332422002238
25,Pascal Siakam,IND,45550512.0,$146773872,siakapa01,20,31,IND,PF,9.0,0.484,1.7,0.358,7.3,0.527,0.529,4.2,0.693,1.4,5.2,6.6,3.8,1.1,0.4,24.0,AS,17.634332422002238
26,Domantas Sabonis,SAC,42336000.0,$136416000,sabondo01,90,29,SAC,C,6.3,0.543,0.3,0.185,6.1,0.593,0.554,2.9,0.727,3.4,8.0,11.4,4.1,0.9,0.2,15.8,,17.561148345896818
27,OG Anunoby,NYK,39568966.0,$127500000,anunoog01,78,28,NYK,PF,5.8,0.484,2.3,0.386,3.5,0.584,0.581,2.7,0.828,1.3,4.0,5.2,2.2,1.6,0.7,16.7,DPOY-10,17.493555682112937
28,Zion Williamson,NOP,39446090.0,$126499530,willizi01,33,25,NOP,PF,7.8,0.6,0.0,0.25,7.8,0.601,0.6,5.4,0.716,2.0,3.7,5.7,3.2,1.0,0.5,21.0,,17.490445487543145
29,Ja Morant,MEM,39446090.0,$126499530,moranja01,50,26,MEM,PG,6.6,0.41,1.0,0.235,5.6,0.473,0.441,5.3,0.897,0.4,2.9,3.3,8.1,1.0,0.3,19.5,,17.490445487543145
30,Darius Garland,LAC,39446090.0,$126499530,garlada01,54,26,2TM,PG,6.9,0.46,2.7,0.396,4.2,0.514,0.551,2.3,0.861,0.4,2.0,2.4,6.7,1.0,0.2,18.8,,17.490445487543145
30,Darius Garland,LAC,39446090.0,$126499530,garlada01,54,26,CLE,PG,6.5,0.451,2.3,0.36,4.3,0.521,0.529,2.6,0.861,0.5,2.0,2.4,6.9,0.8,0.1,18.0,,17.490445487543145
30,Darius Garland,LAC,39446090.0,$126499530,garlada01,54,26,LAC,PG,7.3,0.471,3.3,0.438,4.0,0.503,0.578,1.9,0.86,0.3,2.0,2.3,6.4,1.2,0.3,19.9,,17.490445487543145
31,James Harden,CLE,39182693.0,,hardeja01,22,36,2TM,PG,7.0,0.434,3.1,0.375,3.9,0.495,0.529,6.6,0.884,0.6,4.2,4.8,8.0,1.1,0.4,23.6,,17.483745702166576
